categoria,porcentagem
Open Source,0.6191950464396285
Mobile,0.30959752321981426
Java,29.721362229102166
Software Engineering,4.953560371517028
Internet,12.693498452012383
Web Development,5.2631578947368425
Miscellaneous,0.6191950464396285
Microsoft .NET,10.526315789473685
Microsoft,2.476780185758514
Next Generation Databases,0.30959752321981426
PowerBuilder,2.1671826625387
Client-Server,3.4055727554179565
Computer Graphics,1.8575851393188854
Object-Oriented Programming,1.238390092879257
S,0.30959752321981426
Networking,2.1671826625387
Theory,2.1671826625387
Programming,3.7151702786377707
Python,1.8575851393188854
Mobile Technology,1.8575851393188854
Business,3.7151702786377707
P,0.30959752321981426
XML,1.238390092879257
Perl,1.8575851393188854
java,0.30959752321981426
Microsoft/.NET,0.30959752321981426
Miscella,0.30959752321981426
Object-Technology Programming,0.30959752321981426
,0.6191950464396285
internet,0.30959752321981426
.NET,0.30959752321981426
Algorithmic Art,0.30959752321981426
PHP,0.30959752321981426
SOA,0.30959752321981426
Computer Graph,0.30959752321981426
Client Server,0.30959752321981426
In Action,0.30959752321981426
Software Development,0.30959752321981426
